idmun,ano,esf
140010,2001,1
140010,2002,1
140010,2003,1
140010,2004,1
140010,2005,1
140010,2006,1
140010,2007,1
140010,2008,1
140010,2009,1
140010,2010,1
140010,2011,1
140010,2012,1
140010,2013,1
140010,2014,1
140010,2015,1
140020,1998,0
140020,1999,0
140020,2000,1
140020,2001,1
140020,2002,1
140020,2003,1
140020,2004,1
140020,2005,1
140020,2006,1
140020,2007,1
140020,2008,1
140020,2009,1
140020,2010,1
140020,2011,1
140020,2012,1
140020,2013,1
140020,2014,1
140020,2015,1
140060,1998,0
140060,1999,0
140060,2000,0
140060,2001,0
140060,2002,0
140060,2003,1
140060,2004,1
140060,2005,1
140060,2006,1
140060,2007,1
140060,2008,1
140060,2009,1
140060,2010,1
140060,2011,1
140060,2012,1
140060,2013,1
140060,2014,1
140060,2015,1
150010,1998,1
150010,1999,1
150010,2000,1
150010,2001,1
150010,2002,1
150010,2003,1
150010,2004,1
150010,2005,1
150010,2006,1
150010,2007,1
150010,2008,1
150010,2009,1
150010,2010,1
150010,2011,1
150010,2012,1
150010,2013,1
150010,2014,1
150010,2015,1
150020,1998,0
150020,1999,0
150020,2000,0
150020,2001,0
150020,2002,0
150020,2003,0
150020,2004,0
150020,2005,1
150020,2006,1
150020,2007,1
150020,2008,1
150020,2009,1
150020,2010,1
150020,2011,1
150020,2012,1
150020,2013,1
150020,2014,1
150020,2015,1
150030,1998,0
150030,1999,0
150030,2000,0
150030,2001,0
150030,2002,0
150030,2003,0
150030,2004,0
150030,2005,0
150030,2006,0
150030,2007,0
150030,2008,0
150030,2009,0
150030,2010,1
150030,2011,1
150030,2012,1
150030,2013,1
150030,2014,1
150030,2015,1
150040,1998,0
150040,1999,1
150040,2000,1
150040,2001,1
150040,2002,1
150040,2003,1
150040,2004,0
150040,2005,0
150040,2006,1
150040,2007,1
150040,2008,1
150040,2009,1
150040,2010,1
150040,2011,1
150040,2012,1
150040,2013,1
150040,2014,1
150040,2015,1
150050,1998,0
150050,1999,1
150050,2000,1
150050,2001,1
150050,2002,1
150050,2003,1
150050,2004,1
150050,2005,1
150050,2006,1
150050,2007,1
150050,2008,1
150050,2009,1
150050,2010,1
150050,2011,1
150050,2012,1
150050,2013,1
150050,2014,1
150050,2015,1
150060,1998,0
150060,1999,1
150060,2000,1
150060,2001,1
150060,2002,1
150060,2003,1
150060,2004,1
150060,2005,1
150060,2006,1
150060,2007,1
150060,2008,1
150060,2009,1
150060,2010,1
150060,2011,1
150060,2012,1
150060,2013,1
150060,2014,1
150060,2015,1
150070,1998,0
150070,1999,0
150070,2000,0
150070,2001,0
150070,2002,0
150070,2003,0
150070,2004,0
150070,2005,0
150070,2006,1
150070,2007,1
150070,2008,1
150070,2009,1
150070,2010,1
150070,2011,1
150070,2012,1
150070,2013,0
150070,2014,1
150070,2015,1
150080,1998,1
150080,1999,1
150080,2000,1
150080,2001,1
150080,2002,1
150080,2003,1
150080,2004,1
150080,2005,1
150080,2006,1
150080,2007,1
150080,2008,1
150080,2009,1
150080,2010,1
150080,2011,1
