espvida;fectot;mort5;razdep;e_anosestudo;gini;rdpc;emp;t_ativ;t_des;trabcc;trabpub;trabsc;t_agua;t_dens;t_lixo;t_luz;agua_esgoto;t_sluz;homemtot;mulhertot;pea;pia;pop;popt;investimento;idhm
77,54;1,43;12,04;37,66;10,28;0,4;883,42;3,36;63,62;2,92;54,84;1,81;13,29;91,52;9,72;99,69;100;0;0;9935;10288;11455;18005;20196;20196;0;0,772
74,59;2,19;16,57;47,91;7,91;0,45;655,53;1,22;63,44;3,9;45,21;4,94;11,68;77,39;10,8;100;98,67;1,77;1,33;1785;1747;1904;3001;3523;3518;1;0,686
72,42;2;20,5;48,34;7,93;0,5;419,74;1,5;44,26;1,72;25,05;11,47;16,76;81,13;11,34;99,22;99,25;1,51;0,75;1446;1362;1062;2399;2801;2683;1;0,629
73,06;2,21;19,27;48,64;10,3;0,43;642,6;1,35;60,48;4,08;47,53;7;24,62;84,68;16,51;96,27;99,66;0,32;0,34;2428;2365;2451;4052;4771;4771;1;0,718
73,1;2,03;19,2;46,14;10,21;0,41;744,1;1,56;72,3;1,79;20,16;4,96;8,57;80,85;14,88;99,61;100;0,93;0;3258;3032;3853;5329;6189;6150;1;0,700
76,42;1,85;13,66;40,76;10,49;0,47;978,07;3,43;68,4;3,18;66,19;2,94;8,29;95,51;11,48;99,83;99,92;0,11;0,08;23279;23909;27690;40482;46820;46792;0;0,764
75,44;2,25;15,18;51,1;9,96;0,52;599,02;1,21;70,29;1,58;25,99;4,97;7,34;91,04;14,5;93,64;99,85;6,04;0,15;2770;2437;3069;4367;5180;5028;1;0,673
77,18;2,16;12,54;43,94;7,35;0,43;796,45;0,83;73,22;1,35;38,82;1,25;7,56;89,08;11,27;99,02;100;0,76;0;1827;1773;2298;3139;3573;3573;1;0,710
76,67;1,75;13,29;42,28;10,02;0,48;906,11;3,96;63,39;3,69;54,6;4,17;10,51;68,94;14,53;98,54;99,17;0,61;0,83;21581;22547;24014;37881;43612;43584;0;0,775
76,63;1,79;13,36;38,99;10,48;0,47;973,81;1,17;83,84;0,41;13,52;3,16;15,04;86,94;5,05;100;99,63;0,4;0,37;2160;1982;3067;3658;4128;4119;0;0,749
77,23;1,95;12,48;41,36;10,5;0,43;783,29;2;69,2;3,27;54,41;2,21;12,39;94,32;12,15;98,31;99,44;2,62;0,56;12776;12937;15295;22101;25674;25674;0;0,752
78,07;2,02;11,31;45,26;10,68;0,42;861,63;2,64;76,85;2,24;49,03;7,53;11,48;96,08;9,36;99,58;99,91;0,09;0,09;1537;1454;1952;2541;2981;2981;0;0,761
81,97;2,12;11,88;47,52;11,21;0,44;904,71;2,77;80,69;2,35;51,48;7,91;12,05;100,88;9,83;104,56;104,91;0,09;0,09;1614;1527;2050;2668;3130;3130;;
71,55;2,05;18,99;47,03;11,53;0,43;623,43;3,40;70,81;3,00;20,55;5,79;21,05;91,11;17,71;98,00;97,75;1,07;0,25;3166;3086;3888;5380;6234;6233;;
78,55;2,14;11,85;43,41;10,15;0,44;914,35;3,55;68,63;1,77;55,58;5,07;9,33;92,67;8,54;100,53;101,00;0,21;0,00;3301;3318;3862;5684;6568;6568;;
73,50;1,42;14,22;43,39;10,69;0,40;861,07;0,15;53,96;13,78;39,41;12,45;14,80;81,03;5,31;94,90;97,00;0,26;0,00;2898;1665;2354;4232;3287;3281;;
